a_config,a_profit_train,a_profit_val,a_profit_test,a_profit_train_fc,a_profit_val_fc,a_profit_test_fc,ab_profit_PF_train,ab_profit_PF_val,ab_profit_PF_test,b_train_time_per_epoch,b_train_time_forward,b_train_time_backward,b_train_time_val,hp_reg,hp_gamma,hp_lr,hp_bs,hp_ws,smoothing,loss,framework,,regret_val,regret_test,train_time
91,-0.301776588,0.010379411,0.032522134,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,11.73465744,0.918347107,0.159376571,2.935666816,0,1,0.0001,8,FALSE,logBar,profit,ID,,,,
82,-0.722977459,0.013042763,0.0443618,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,17.18399379,1.057761255,0.407822718,5.437949181,0,0.1,0.001,8,FALSE,logBar,profit,ID,,,,
83,-0.504559398,0.026827812,0.027613565,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,11.93719022,0.914697485,0.201200217,2.994739226,0,0.1,0.0001,8,FALSE,logBar,profit,ID,,,,
87,-0.223544538,0.039193057,0.043430015,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,12.01554971,0.885761395,0.193578796,3.086485851,0,0.3,0.0001,8,FALSE,logBar,profit,ID,,,,
68,-0.140166342,0.04667487,0.019320756,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,14.15071992,0.962099752,0.39654838,3.42423062,0,0.001,1.00E-05,8,FALSE,logBar,profit,ID,,,,
86,-0.259418368,0.052871361,0.065976553,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,17.60399658,1.080207566,0.36967174,6.11116472,0,0.3,0.001,8,FALSE,logBar,profit,ID,,,,
107,0.1111435,0.075358108,0.06576845,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,11.37301683,7.192700531,1.099850183,3.016656775,0,0.01,0.0001,64,FALSE,logBar,profit,ID,,,,
72,0.095870823,0.086391285,0.070146643,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,13.74908718,0.967337344,0.309213514,3.45703152,0,0.003,1.00E-05,8,FALSE,logBar,profit,ID,,,,
103,0.065053344,0.087502688,0.053496301,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,12.27586904,7.496451967,1.350915314,3.348272505,0,0.003,0.0001,64,FALSE,logBar,profit,ID,,,,
111,0.213883758,0.09992934,0.076210387,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,11.7821909,7.346102621,1.179333581,3.169839241,0,0.03,0.0001,64,FALSE,logBar,profit,ID,,,,
115,0.220549822,0.100332722,0.074271463,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,11.77464214,7.467446811,1.181643172,3.036554634,0,0.1,0.0001,64,FALSE,logBar,profit,ID,,,,
119,0.2097269,0.10140761,0.081688665,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,11.12350228,7.180266972,1.063999421,2.816032996,0,0.3,0.0001,64,FALSE,logBar,profit,ID,,,,
118,0.215264678,0.102490596,0.081204019,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,14.04473325,6.708505276,1.887367886,5.254930271,0,0.3,0.001,64,FALSE,logBar,profit,ID,,,,
123,0.199837625,0.10303852,0.081072211,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,10.81720384,7.085167009,0.940126244,2.742748914,0,1,0.0001,64,FALSE,logBar,profit,ID,,,,
114,0.217242658,0.103249393,0.081204019,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,14.62697825,6.810950556,1.954356316,5.627285957,0,0.1,0.001,64,FALSE,logBar,profit,ID,,,,
122,0.129209995,0.106142588,0.092949197,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,13.82192763,7.108336346,1.650684992,4.911596794,0,1,0.001,64,FALSE,logBar,profit,ID,,,,
76,0.165312737,0.106144965,0.070211276,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,12.10613887,0.891411064,0.225024517,2.963174966,0,0.01,1.00E-05,8,FALSE,logBar,profit,ID,,,,
117,0.256959081,0.106427364,0.077841595,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,14.79073122,6.680910278,1.915989699,5.900113221,0,0.3,0.01,64,FALSE,logBar,profit,ID,,,,
