a_config,a_profit_train,a_profit_val,a_profit_test,a_profit_train_fc,a_profit_val_fc,a_profit_test_fc,ab_profit_PF_train,ab_profit_PF_val,ab_profit_PF_test,b_train_time_per_epoch,b_train_time_forward,b_train_time_backward,b_train_time_val,hp_reg,hp_gamma,hp_lr,hp_bs,hp_ws,smoothing,loss,framework,hp_hl1_units,hp_hl1_act,,regret_val,regret_test,train_time
95,0.101870716,0.18098107,0.168975353,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,12.29834033,0.974441822,0.153588904,3.174699914,0,3,0.0001,8,FALSE,logBar,profit,ID,24,softplus,,,,
90,0.158519506,0.184761971,0.191385329,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,17.45582936,1.039421543,0.347387352,6.124616477,0,1,0.001,8,FALSE,logBar,profit,ID,24,softplus,,,,
87,0.178737521,0.195567369,0.199035913,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,14.92620844,1.02945129,0.280311717,4.28127693,0,0.3,0.0001,8,FALSE,logBar,profit,ID,24,softplus,,,,
75,0.154616594,0.195983306,0.200861096,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,16.01067331,1.029479994,0.374148431,4.500017555,0,0.01,0.0001,8,FALSE,logBar,profit,ID,24,softplus,,,,
79,0.15088582,0.197211444,0.201403469,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,15.9370822,1.007721153,0.372163952,4.781565849,0,0.03,0.0001,8,FALSE,logBar,profit,ID,24,softplus,,,,
83,0.144058466,0.197211444,0.201541007,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,15.70543828,0.95438242,0.317657216,4.73842047,0,0.1,0.0001,8,FALSE,logBar,profit,ID,24,softplus,,,,
122,0.173535943,0.200645983,0.197124869,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,14.43603181,7.331996558,1.901000299,5.026407965,0,1,0.001,64,FALSE,logBar,profit,ID,24,softplus,,,,
110,0.178503871,0.203132629,0.208749145,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,14.13983824,6.948480213,2.015571757,5.014489768,0,0.03,0.001,64,FALSE,logBar,profit,ID,24,softplus,,,,
106,0.178175211,0.204256028,0.209818512,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,14.37786872,6.994451544,2.014372575,5.195172034,0,0.01,0.001,64,FALSE,logBar,profit,ID,24,softplus,,,,
114,0.178556323,0.204626024,0.208749145,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,14.57399741,7.052525202,2.004213643,5.322569646,0,0.1,0.001,64,FALSE,logBar,profit,ID,24,softplus,,,,
118,0.178556323,0.204626024,0.208749145,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,14.5019609,7.261528488,1.972722622,5.151649308,0,0.3,0.001,64,FALSE,logBar,profit,ID,24,softplus,,,,
113,0.184586525,0.207858592,0.208749145,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,16.04428265,6.694454571,2.377080728,6.523490503,0,0.1,0.01,64,FALSE,logBar,profit,ID,24,softplus,,,,
117,0.184586525,0.207858592,0.208749145,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,15.37259644,6.625040671,2.212622832,6.143634295,0,0.3,0.01,64,FALSE,logBar,profit,ID,24,softplus,,,,
121,0.183912516,0.208015949,0.208749145,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,14.70469539,6.607817584,2.208805117,5.673619731,0,1,0.01,64,FALSE,logBar,profit,ID,24,softplus,,,,
68,0.559463382,0.237505749,0.229433388,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,15.08320708,0.990315588,0.429827817,3.745421344,0,0.001,1.00E-05,8,FALSE,logBar,profit,ID,24,softplus,,,,
123,0.610966206,0.252148062,0.257170588,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,11.81066356,7.506675903,1.120661906,3.103028401,0,1,0.0001,64,FALSE,logBar,profit,ID,24,softplus,,,,
103,0.590505838,0.254149228,0.255040735,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,12.36304649,7.591610435,1.357306261,3.359079034,0,0.003,0.0001,64,FALSE,logBar,profit,ID,24,softplus,,,,
